"Year","Region","DOY_Start","DOY_End","DOY_cum25","DOY_cum50","DOY_cum75","N","Condition_factor","MDM_area","SSB","Mean_age","ICOADS.SST.mar.intp","ICOADS.SST.apr.int","FWinput.total","FWinput.total.t","NCEP.SST.fa","NCEP.SST.wi","NCEP.SST.sp","NCEP.MerWind.fa","NCEP.MerWind.wi","NCEP.MerWind.sp","NCEP.ZonWind.fa","NCEP.ZonWind.wi","NCEP.ZonWind.sp","Upwell.fa","Upwell.wi","Upwell.sp","a.MEI.v2.wi","a.MEI.v2.su","a.NPGO.wi","a.NPGO.su","a.PDO.wi","a.PDO.su","a.PNA.wi","a.PNA.su","RS_SSB_10","RS_SSB_5","RS_SP_10","RS_SP_5"
1995,"WPWS",117,122,117,118,119,36,1.22056145462344,18.63775503,23.42,5.68221343873518,3.16,3.85,39957778432,3.9957778432,6.444,2.503,1.664,-1.7695,-1.881,-1.231,-4.695,-3.857,-3.032,-61,-315,-93,0.609237622967662,0.714541312154123,-1.3044222977718,-0.832217519872708,-0.756005430964316,-0.659036699675962,-0.062,-1.205,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
1995,"EPWS",96,110,98,102,104,35,1.27388481390406,9.59218221,23.42,6.05033238366572,4.330243,3.9,19390779392,1.9390779392,6.444,2.503,1.664,-1.7695,-1.881,-1.231,-4.695,-3.857,-3.032,-61,-315,-93,0.609237622967662,0.714541312154123,-1.3044222977718,-0.832217519872708,-0.756005430964316,-0.659036699675962,-0.062,-1.205,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
1996,"WPWS",105,126,110,110,111,40,1.265761674457,19.8831081,23.27,4.65497076023392,3.723163,4.908842,27028660224,2.7028660224,5.527,2.602,1.686,-2.373,-0.888666667,-1.822,-3.4705,-6.104666667,-5.15,-209,-366,-31,-0.7660775362676,-0.458492806922961,-0.623891882564286,-1.08611439034235,0.687547946139676,0.790920272890469,-0.448,0.2625,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
1996,"EPWS",93,110,103,106,108,75,1.2474458462229,17.381950093,23.27,5.53018282166264,3.860486,4.775314,12548356096,1.2548356096,5.527,2.602,1.686,-2.373,-0.888666667,-1.822,-3.4705,-6.104666667,-5.15,-209,-366,-31,-0.7660775362676,-0.458492806922961,-0.623891882564286,-1.08611439034235,0.687547946139676,0.790920272890469,-0.448,0.2625,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
1997,"WPWS",105,111,108,109,110,67,1.27808023317811,34.756064928,25.71,5.34408329101067,3.730081,4.621601,41549914112,4.1549914112,7.106,2.526,1.625,-0.0175,0.990666667,-0.142,-3.7655,-5.698333333,-3.899,-132,-284,-91,-0.50159385179928,-0.64461095525252,-1.13081760001478,-0.905999516419441,0.341753791167997,0.319798606725351,-0.584,-0.55,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
1997,"EPWS",88,111,96,101,103,102,1.25791318625821,29.55660764,25.71,5.36084284460053,3.990264,4.782999,19875446784,1.9875446784,7.106,2.526,1.625,-0.0175,0.990666667,-0.142,-3.7655,-5.698333333,-3.899,-132,-284,-91,-0.50159385179928,-0.64461095525252,-1.13081760001478,-0.905999516419441,0.341753791167997,0.319798606725351,-0.584,-0.55,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
1998,"WPWS",95,112,101,102,109,87,1.25795628714915,34.544935916,20.58,4.91171617161716,5.490752,6.199375,37639438336,3.7639438336,6.229,3.979,3.415,-0.084,-0.156,1.031,-3.944,-4.005666667,-5.006,-110,-328,-14,2.1314881624631,2.11042742462581,0.530579357519888,-0.767115758213826,1.23093876109517,1.9275584674733,0.718,-0.12,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
1998,"EPWS",82,112,84,86,101,76,1.14093549277399,26.105410443,20.58,3.80365296803653,5.277984,5.855462,18399258624,1.8399258624,6.229,3.979,3.415,-0.084,-0.156,1.031,-3.944,-4.005666667,-5.006,-110,-328,-14,2.1314881624631,2.11042742462581,0.530579357519888,-0.767115758213826,1.23093876109517,1.9275584674733,0.718,-0.12,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
1999,"WPWS",106,112,108,109,110,20,1.29183588405511,14.30966879,15.52,5.85204702067288,3.997802,4.59285,36845387776,3.6845387776,5.396,3.444,2.048,1.3515,1.822666667,1.084,-4.5515,-4.392666667,-5.053,-75,-314,-52,-1.22255678427588,-1.03154078993765,1.06701787358908,0.0575065561320124,-0.856633359659778,-0.958633487382906,-0.042,0.395,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
1999,"EPWS",84,110,96,99,108,63,1.23859194446226,26.371602447,15.52,4.58171745152355,3.995772,4.592308,17407176704,1.7407176704,5.396,3.444,2.048,1.3515,1.822666667,1.084,-4.5515,-4.392666667,-5.053,-75,-314,-52,-1.22255678427588,-1.03154078993765,1.06701787358908,0.0575065561320124,-0.856633359659778,-0.958633487382906,-0.042,0.395,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2000,"WPWS",101,115,101,103,105,29,1.33095978566164,9.396236504,14.59,6.20353982300885,4.543695,5.441667,38689902592,3.8689902592,5.629,2.632,2.174,-0.648,0.514,-0.241,-4.9155,-5.315666667,-5.025,-148,-166,-49,-1.33030939646668,-1.17602724719349,1.2753435108975,1.18593709155263,-1.4347865499828,-1.8231188748121,0.162,0.4475,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2000,"EPWS",94,105,101,102,102,35,1.29684648161212,22.248171227,14.59,4.76594387755102,3.784979,5.24695,20569862144,2.0569862144,5.629,2.632,2.174,-0.648,0.514,-0.241,-4.9155,-5.315666667,-5.025,-148,-166,-49,-1.33030939646668,-1.17602724719349,1.2753435108975,1.18593709155263,-1.4347865499828,-1.8231188748121,0.162,0.4475,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2001,"WPWS",109,116,109,113,113,10,1.29718314977352,8.103282455,13.82,5.60940627084723,4.853333,5.811765,42000809984,4.2000809984,6.195,3.245,2.741,-0.9,-0.227,-3.422,-3.909,-5.002333333,-3.18,-101,-226,-63,-0.848361349213299,-0.556449727096413,2.02878789916296,1.28792985148488,-0.106497891202697,-1.13473236259996,0.558,-1.365,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2001,"EPWS",79,105,100,100,100,11,1.32193455324727,6.733492422,13.82,5.50456204379562,4.669853,5.259263,20208541696,2.0208541696,6.195,3.245,2.741,-0.9,-0.227,-3.422,-3.909,-5.002333333,-3.18,-101,-226,-63,-0.848361349213299,-0.556449727096413,2.02878789916296,1.28792985148488,-0.106497891202697,-1.13473236259996,0.558,-1.365,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2002,"WPWS",106,114,112,114,114,7,1.34600091731653,12.354284692,17.96,4.00800854244527,3.598506,4.027121,46946672640,4.694667264,6.604,2.953,1.492,1.3745,-0.278,-3.214,-6.2055,-5.331666667,-4.317,-114,-232,-31,-0.162662907999137,-0.140132816359243,1.56699940312929,1.54182672195452,-0.946283696133917,-1.54867906927902,-0.216,-0.3375,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2002,"EPWS",79,115,98,102,106,20,1.32399334396185,11.280759812,17.96,4.01353310778154,4.890991,5.756672,21458370560,2.145837056,6.604,2.953,1.492,1.3745,-0.278,-3.214,-6.2055,-5.331666667,-4.317,-114,-232,-31,-0.162662907999137,-0.140132816359243,1.56699940312929,1.54182672195452,-0.946283696133917,-1.54867906927902,-0.216,-0.3375,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2003,"WPWS",93,107,105,105,107,17,1.34548865400356,7.900931437,24.97,4.15178571428571,5.394658,5.579153,41124040704,4.1124040704,6.696,4.426,3.274,-1.6115,-1.093333333,-0.011,-3.251,-5.022,-1.95,-111,-188,-77,0.671930051878671,0.616584391980671,1.39860284630498,0.882128870477851,1.23276835979873,-0.382309895763441,0.814,0.4175,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2003,"EPWS",60,113,93,101,101,71,1.31056309574612,18.180776004,24.97,4.40569928758905,5.272801,5.891989,19105353728,1.9105353728,6.696,4.426,3.274,-1.6115,-1.093333333,-0.011,-3.251,-5.022,-1.95,-111,-188,-77,0.671930051878671,0.616584391980671,1.39860284630498,0.882128870477851,1.23276835979873,-0.382309895763441,0.814,0.4175,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2004,"WPWS",100,111,103,103,106,13,1.29303136443514,11.134419624,24.95,4.95758928571429,3.99236,4.789538,40546033664,4.0546033664,5.95,3.018,2.207,0.2965,-1.452666667,0.817,-3.3565,-3.994666667,-4.521,-43,-354,-23,-0.0137683893354907,-0.00544205112074731,0.127816458723605,0.66729305700354,-0.24554739267279,0.166569715302716,-0.018,0.12,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2004,"EPWS",98,111,100,100,103,35,1.2706422268878,19.226522077,24.95,5.0325011775789,3.9,5.7369085,19176873984,1.9176873984,5.95,3.018,2.207,0.2965,-1.452666667,0.817,-3.3565,-3.994666667,-4.521,-43,-354,-23,-0.0137683893354907,-0.00544205112074731,0.127816458723605,0.66729305700354,-0.24554739267279,0.166569715302716,-0.018,0.12,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2005,"WPWS",107,123,107,107,123,13,1.19046343286883,5.032378282,20.1,5.22895622895623,4.240082,5.25552,42924412928,4.2924412928,6.269,2.846,2.282,-0.649,-0.000333333,-2.511,-3.6035,-4.767,-4.434,-39,-272,-93,0.468179657917892,0.308020093434298,-1.17421877445403,0.369995012094646,-0.168704247123528,0.116255750954985,0.016,0.2,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2005,"EPWS",78,107,94,97,97,51,1.30380558852829,26.667986472,20.1,5.32122587968218,4.580851,5.581828,22270171136,2.2270171136,6.269,2.846,2.282,-0.649,-0.000333333,-2.511,-3.6035,-4.767,-4.434,-39,-272,-93,0.468179657917892,0.308020093434298,-1.17421877445403,0.369995012094646,-0.168704247123528,0.116255750954985,0.016,0.2,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2006,"EPWS",85,105,85,86,88,34,1.24644245449023,19.301138067,18.23,5.89509143407122,4.785436,5.163558,20978446336,2.0978446336,5.901,3.199,2.06,-1.97,-0.667333333,-3.124,-4.136,-4.605666667,-3.212,-240,-368,-126,-0.668120616094148,0.00190471789226156,-1.04748734509141,-1.34435137825591,-0.258354583597667,-0.0301121453293239,-0.154,0.6025,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2006,"WPWS",88,98,98,98,98,2,NA,1.317361073,18.23,NA,4.375143,4.824842,41117036544,4.1117036544,5.901,3.199,2.06,-1.97,-0.667333333,-3.124,-4.136,-4.605666667,-3.212,-240,-368,-126,-0.668120616094148,0.00190471789226156,-1.04748734509141,-1.34435137825591,-0.258354583597667,-0.0301121453293239,-0.154,0.6025,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2007,"WPWS",116,141,129,129,130,44,1.27090689674187,8.35206147,21.28,3.16067329762816,3.318802,3.96292,36057169920,3.605716992,5.83,2.262,1.277,1.2915,-1.075666667,0.709,-4.5425,-4.792,-4.952,-262,-335,-219,0.419201197831166,0.234552403304209,-0.512784875999794,-0.411226127811938,-0.609637534680008,-0.336569928174595,-0.012,-0.2175,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2007,"EPWS",87,129,93,96,101,35,1.34068810513745,9.868777565,21.28,5.63611859838275,3.684684,4.449296,16057901056,1.6057901056,5.83,2.262,1.277,1.2915,-1.075666667,0.709,-4.5425,-4.792,-4.952,-262,-335,-219,0.419201197831166,0.234552403304209,-0.512784875999794,-0.411226127811938,-0.609637534680008,-0.336569928174595,-0.012,-0.2175,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2008,"WPWS",113,122,114,120,120,31,1.26337186577121,16.770702933,26.14,3.74741426238432,3.618571,4.563506,39652753408,3.9652753408,5.785,2.576,1.351,0.3545,-1.740666667,-0.944,-3.35,-3.524,-4.237,-147,-432,-152,-1.24998472192445,-0.923788177746857,0.619117753375968,0.923359986195143,-1.1255843690822,-0.0461211339854201,-0.162,1.2075,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
2008,"EPWS",88,115,102,102,102,27,1.37707245883551,11.391949627,26.14,5.99051094890511,3.515138,4.290238,20081606656,2.0081606656,5.785,2.576,1.351,0.3545,-1.740666667,-0.944,-3.35,-3.524,-4.237,-147,-432,-152,-1.24998472192445,-0.923788177746857,0.619117753375968,0.923359986195143,-1.1255843690822,-0.0461211339854201,-0.162,1.2075,"18.9289315403244","19.1883773046441","-2.48132440727637","19.1883773046441"
