"Year","Region","DOY_Start","DOY_End","DOY_cum25","DOY_cum50","DOY_cum75","N","Condition_factor","MDM_area","SSB","Mean_age","ICOADS.SST.mar.intp","ICOADS.SST.apr.int","FWinput.total","FWinput.total.t","NCEP.SST.fa","NCEP.SST.wi","NCEP.SST.sp","NCEP.MerWind.fa","NCEP.MerWind.wi","NCEP.MerWind.sp","NCEP.ZonWind.fa","NCEP.ZonWind.wi","NCEP.ZonWind.sp","Upwell.fa","Upwell.wi","Upwell.sp","a.MEI.v2.wi","a.MEI.v2.su","a.NPGO.wi","a.NPGO.su","a.PDO.wi","a.PDO.su","a.PNA.wi","a.PNA.su"
2010,"WPWS",114,124,114,114,124,4,NA,0.705356039,23.32,NA,4.213748,5.152002,40616488960,4.061648896,5.886,3.082,2.589,0.5935,-2.04,-2.097,-5.238,-4.496,-5.2,-95,-406,-42,1.0559211789586,0.300673324421289,1.20937372574983,0.450287184807267,-0.166874648419975,-0.293116958965191,0.67,0.7125
2011,"WPWS",104,104,104,104,104,4,NA,0.772204043,19.55,NA,4.141713,4.853311,43089375232,4.3089375232,5.934,2.996,1.782,-0.4965,1.439333333,-1.238,-3.342,-3.201333333,-1.979,-82,-143,-61,-1.82988968935128,-2.0943733738196,0.54620378031802,0.84957798964841,-1.41832016165081,-1.62872401255951,-0.784,0.7325
2012,"WPWS",116,116,116,116,116,1,NA,1.607566089,17.58,NA,3.354406,4.981543,45832208384,4.5832208384,5.674,2.134,1.032,-1.312,0.231666667,0.084,-3.822,-4.768333333,-3.253,-46,-65,-12,-0.965909653421441,-1.00215371388562,0.4541932905068,0.860428283258224,-1.79521749458291,-1.81397088129433,-0.012,0.1525
2013,"WPWS",114,129,114,129,129,7,NA,6.006624337,14.77,NA,3.642962,4.045479,44368658432,4.4368658432,6.753,2.663,1.777,0.758,0.458666667,0.227,-3.262,-4.325666667,-3.519,-219,-148,-14,-0.105847894298535,-0.11564358631588,0.863900377213364,1.37473220036339,-1.01946764427607,-2.12728965927793,-0.456,-0.395
2014,"WPWS",NA,NA,NA,NA,NA,NA,NA,NA,11.42,NA,3.533333,5.592938,35883646976,3.5883646976,7.225,3,1.994,0.3835,0.196666667,0.141,-4.18,-5.456666667,-3.424,-38,-144,-35,-0.331148810697474,-0.740118952421635,-0.705486090510085,0.34178424870913,-0.439484855249499,-1.08899239501112,-0.756,-0.1775
2015,"WPWS",117,124,120,121,122,22,1.4019027601064,7.633188423,8.02,5.77922077922078,5.372435,5.927593,31202525184,3.1202525184,6.841,4.516,3.165,-0.1385,0.613666667,-0.323,-2.597,-5.798,-3.969,-93,-203,-28,0.186063727818351,0.0508831779789874,-0.684653526779242,-0.526239240075963,1.4559794016323,0.315224609966467,0.224,0.2975
2016,"WPWS",NA,NA,NA,NA,NA,NA,NA,NA,6.42,NA,5.185368,6.797632,40512184320,4.051218432,7.095,4.062,3.932,-1.2975,-0.419333333,-2.683,-3.8345,-1.827,-4.438,-54,-346,-63,1.70439599050685,1.86063727818351,-0.419038339211004,-1.58522789639378,0.811960657981339,1.02419410759359,0.86,-0.1325
2017,"WPWS",NA,NA,NA,NA,NA,NA,1.14037843339484,NA,6.17,3.51207729468599,4.695522,6.205694,31569080320,3.156908032,6.463,3.769,2.352,-1.6885,-0.946666667,-2.024,-2.2435,-3.602,-2.37,-159,-71,-164,-0.468288498940306,-0.216049429493668,-0.504104641111943,-0.719374466330646,0.365538574314198,0.0682287849866959,0.084,-0.2275
2018,"WPWS",NA,NA,NA,NA,NA,NA,1.58932497662081,NA,6.97,3.80205655526992,4.720439,5.10123,34919833600,3.49198336,7.014,3.036,2.223,0.155,-0.335333333,1.401,-4.6105,-2.904333333,-4.21,-108,-201,-18,-0.736690460215564,-0.654406647269865,-1.9450236324952,-0.508878770300261,-0.110157088609805,-0.133027072404228,-0.874,0.5975
2019,"WPWS",95,123,95,123,123,4,NA,0.54446603,13.67,NA,5.374216,6.139164,24796430336,2.4796430336,6.666,3.963,3.244,0.93,0.504666667,-1.671,-3.2595,-3.532666667,-1.14,-141,-91,-33,0.317326000850776,0.0214961019269519,-1.55267701556434,-1.8456349430293,-0.346175321368253,-0.206211020546383,-0.116,0.575
